Q1,Q2_1,Q3,Q3_9_TEXT,Q4,Q4_10_TEXT,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q6_6_TEXT,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_1_TEXT,Q11_17,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_7_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_7,Q13_6,Q13_6_TEXT,Q14,Q15,Q16,Q16_5_TEXT,Q17,Q18,Q19,Q20
Everday,8.00 ,"Apple Music,Youtube Music,SoundCloud",,Apple Music,,4.00 ,7.00 ,1.00 ,1.00 ,7.00 ,4.00 ,"Spotify,Apple Music",,2.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,1.00 ,7.00 ,4.00 ,5.00 ,7.00 ,4.00 ,4.00 ,4.00 ,5.00 ,,4.00 ,1.00 ,5.00 ,1.00 ,4.00 ,1.00 ,3.00 ,0.00 ,,5.00 ,5.00 ,7.00 ,3.00 ,2.00 ,5.00 ,,,Yes,0-$5,You,,Male,22-23,0,
Everday,2.20 ,"Spotify,Apple Music,Youtube Music,Pandora",,Spotify,,4.00 ,6.00 ,5.00 ,6.00 ,3.00 ,4.00 ,"Spotify,Apple Music",,1.00 ,5.00 ,7.00 ,7.00 ,7.00 ,5.00 ,6.00 ,5.00 ,6.00 ,4.00 ,5.00 ,6.00 ,5.00 ,4.00 ,5.00 ,,3.00 ,5.00 ,4.00 ,2.00 ,3.00 ,3.00 ,3.00 ,3.00 ,,5.00 ,4.00 ,3.00 ,2.00 ,2.00 ,2.00 ,,,Yes,0-$5,You,,Female,20-21,"less than 5,000",
Everday,1.40 ,"Apple Music,Other",NetEaseCloud/,Other:,NetEaseCloud/,2.00 ,4.00 ,2.00 ,1.00 ,6.00 ,6.00 ,Spotify,,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,,5.00 ,,,,4.00 ,,4.00 ,,,,,,,,,,,,,,,,,,
Everday,5.00 ,"Spotify,Apple Music,Amazon Music,Youtube Music,SoundCloud,Other",Cassette and CD,Youtube Music,,5.00 ,5.00 ,2.00 ,7.00 ,,5.00 ,"Spotify,Youtube Music",,5.00 ,7.00 ,7.00 ,7.00 ,5.00 ,7.00 ,5.00 ,5.00 ,6.00 ,4.00 ,2.00 ,5.00 ,4.00 ,6.00 ,5.00 ,,4.00 ,5.00 ,4.00 ,5.00 ,5.00 ,3.00 ,4.00 ,5.00 ,,7.00 ,5.00 ,7.00 ,6.00 ,4.00 ,7.00 ,,,Yes,$11-$15,You,,Male,22-23,,
Everday,4.50 ,Other,NetEase CloudMusic,Other:,NetEase CloudMusic,2.00 ,,,0.00 ,4.00 ,4.00 ,Other,NetEase CloudMusic,3.00 ,5.00 ,5.00 ,3.00 ,2.00 ,6.00 ,3.00 ,7.00 ,3.00 ,5.00 ,1.00 ,4.00 ,3.00 ,7.00 ,5.00 ,NetEase CloudMusic,2.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,4.00 ,QQmusic,2.00 ,2.00 ,,,,,3.00 ,QQmusic,Yes,0-$5,You,,Male,22-23,"5,000-10,000",
Everday,2.00 ,"Apple Music,Youtube Music",,Youtube Music,,,5.00 ,0.00 ,,6.00 ,7.00 ,"Spotify,Apple Music,Youtube Music",,0.00 ,5.00 ,7.00 ,5.00 ,6.00 ,7.00 ,1.00 ,6.00 ,6.00 ,5.00 ,6.00 ,6.00 ,7.00 ,4.00 ,5.00 ,youtube,2.00 ,3.00 ,4.00 ,0.00 ,5.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,,0.00 ,,,,,,Yes,0-$5,A parent,,Female,20-21,"5,000-10,000",
Everday,5.90 ,Youtube Music,,Youtube Music,,3.00 ,1.00 ,1.00 ,0.00 ,3.00 ,2.00 ,Apple Music,,6.00 ,4.00 ,5.00 ,5.00 ,3.00 ,3.00 ,5.00 ,3.00 ,4.00 ,3.00 ,4.00 ,4.00 ,4.00 ,5.00 ,3.00 ,,5.00 ,3.00 ,4.00 ,2.00 ,5.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,Yes,$11-$15,You,,Female,22-23,0,
Everday,0.90 ,"Youtube Music,Other",tidal,Youtube Music,,1.00 ,5.00 ,4.00 ,3.00 ,5.00 ,3.00 ,Apple Music,,0.00 ,7.00 ,7.00 ,5.00 ,6.00 ,6.00 ,1.00 ,6.00 ,6.00 ,3.00 ,6.00 ,5.00 ,7.00 ,7.00 ,6.00 ,,3.00 ,2.00 ,2.00 ,2.00 ,5.00 ,1.00 ,1.00 ,0.00 ,,3.00 ,6.00 ,6.00 ,3.00 ,0.00 ,0.00 ,,,Yes,$16+,You,,Male,20-21,"Greater than 10,000",
Everday,1.30 ,Other,netease cloud music and qq music,Other:,netease cloud,4.00 ,3.00 ,,2.00 ,6.00 ,2.00 ,Other,qq music,3.00 ,7.00 ,7.00 ,4.00 ,7.00 ,7.00 ,7.00 ,4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,4.00 ,5.00 ,4.00 ,,5.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,qq music,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,qq music,No,0-$5,You,,Female,22-23,"5,000-10,000",
Everday,1.80 ,"Apple Music,Youtube Music",,Apple Music,,,7.00 ,4.00 ,7.00 ,5.00 ,5.00 ,Other,QQ Music,4.00 ,7.00 ,7.00 ,6.00 ,5.00 ,5.00 ,2.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,1.00 ,6.00 ,,,1.00 ,5.00 ,1.00 ,3.00 ,3.00 ,2.00 ,1.00 ,QQ Music,5.00 ,7.00 ,5.00 ,2.00 ,2.00 ,2.00 ,,QQ Music,Yes,$6-$10,You,,Male,24-25,"less than 5,000",
Everday,7.70 ,"Spotify,Apple Music,SoundCloud",,Apple Music,,4.00 ,7.00 ,4.00 ,7.00 ,7.00 ,7.00 ,Spotify,,5.00 ,6.00 ,7.00 ,7.00 ,7.00 ,5.00 ,4.00 ,5.00 ,7.00 ,7.00 ,7.00 ,7.00 ,4.00 ,4.00 ,5.00 ,,6.00 ,5.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,6.00 ,5.00 ,0.00 ,,0.00 ,3.00 ,,,Yes,0-$5,You,,Female,20-21,"5,000-10,000",
5 to 6 times a week,3.00 ,"Spotify,Other",Tidal,Spotify,,4.00 ,7.00 ,5.00 ,0.00 ,6.00 ,2.00 ,Spotify,,0.00 ,7.00 ,7.00 ,7.00 ,7.00 ,6.00 ,5.00 ,7.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,,6.00 ,Spotify,3.00 ,5.00 ,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,4.00 ,Tidal,7.00 ,5.00 ,0.00 ,5.00 ,0.00 ,0.00 ,5.00 ,Tidal,Yes,$6-$10,A parent,,Male,20-21,"Greater than 10,000",
Everday,5.20 ,"Spotify,Youtube Music,SoundCloud,Other",Mobile recording software,Spotify,,2.00 ,0.00 ,,3.00 ,3.00 ,3.00 ,Other,wangyiyun music,2.00 ,6.00 ,7.00 ,5.00 ,1.00 ,5.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,6.00 ,,1.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,0.00 ,,7.00 ,4.00 ,7.00 ,3.00 ,3.00 ,6.00 ,,,Yes,0-$5,You,,Female,18-19,"less than 5,000",
Everday,3.00 ,Spotify,,Spotify,,,5.00 ,,4.00 ,6.00 ,6.00 ,"Spotify,Apple Music,Youtube Music",,3.00 ,7.00 ,7.00 ,5.00 ,5.00 ,5.00 ,7.00 ,7.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,Spotify,,5.00 ,1.00 ,1.00 ,2.00 ,2.00 ,1.00 ,1.00 ,,7.00 ,,0.00 ,,,,,,Yes,$6-$10,You,,Female,18-19,"5,000-10,000",
Everday,0.90 ,"Spotify,SoundCloud",,Spotify,,3.00 ,6.00 ,5.00 ,4.00 ,6.00 ,4.00 ,"Spotify,Apple Music",,5.00 ,6.00 ,7.00 ,6.00 ,4.00 ,4.00 ,6.00 ,5.00 ,5.00 ,4.00 ,4.00 ,5.00 ,6.00 ,3.00 ,7.00 ,,1.00 ,5.00 ,2.00 ,1.00 ,3.00 ,1.00 ,5.00 ,,,7.00 ,3.00 ,3.00 ,0.00 ,,5.00 ,,,Yes,0-$5,You,,Female,20-21,0,
Everday,2.50 ,"Spotify,Youtube Music",,Spotify,,2.00 ,5.00 ,2.00 ,3.00 ,4.00 ,1.00 ,"Spotify,Apple Music",,0.00 ,5.00 ,6.00 ,3.00 ,5.00 ,4.00 ,3.00 ,5.00 ,6.00 ,6.00 ,4.00 ,4.00 ,5.00 ,7.00 ,6.00 ,,1.00 ,5.00 ,0.00 ,0.00 ,3.00 ,2.00 ,0.00 ,2.00 ,,6.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,No,0-$5,,,Female,20-21,"less than 5,000",
Everday,1.00 ,"Spotify,SoundCloud",,Spotify,,1.00 ,7.00 ,7.00 ,7.00 ,2.00 ,2.00 ,Spotify,,3.00 ,5.00 ,7.00 ,7.00 ,7.00 ,2.00 ,2.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,,0.00 ,,3.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,7.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,Yes,0-$5,You,,Female,> 25,"Greater than 10,000",
Everday,4.00 ,"Spotify,Youtube Music",,Spotify,,0.00 ,5.00 ,0.00 ,5.00 ,5.00 ,6.00 ,"Spotify,Apple Music",,1.00 ,,,,,,,5.00 ,6.00 ,3.00 ,3.00 ,6.00 ,5.00 ,,6.00 ,Spotify,0.00 ,5.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,0.00 ,,7.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,Yes,$11-$15,You,,Female,24-25,"Greater than 10,000",
Everday,6.00 ,"Spotify,Apple Music,Amazon Music,Youtube Music,Pandora",,Amazon Music,,1.00 ,7.00 ,2.00 ,4.00 ,5.00 ,7.00 ,Spotify,,2.00 ,5.00 ,6.00 ,6.00 ,6.00 ,2.00 ,1.00 ,5.00 ,4.00 ,7.00 ,5.00 ,4.00 ,4.00 ,2.00 ,5.00 ,,4.00 ,2.00 ,2.00 ,4.00 ,3.00 ,3.00 ,1.00 ,,,4.00 ,6.00 ,5.00 ,5.00 ,6.00 ,,,,Yes,0-$5,You,,Female,20-21,"less than 5,000",
Everday,2.00 ,Apple Music,,Apple Music,,3.00 ,4.00 ,,4.00 ,5.00 ,2.00 ,"Spotify,Apple Music",,1.00 ,6.00 ,6.00 ,6.00 ,6.00 ,4.00 ,2.00 ,6.00 ,6.00 ,6.00 ,6.00 ,4.00 ,5.00 ,,6.00 ,,1.00 ,3.00 ,5.00 ,,2.00 ,2.00 ,2.00 ,,,2.00 ,7.00 ,,,,,,,Yes,0-$5,You,,Male,22-23,"less than 5,000",
Everday,0.90 ,"Spotify,Pandora",,Spotify,,3.00 ,7.00 ,5.00 ,6.00 ,3.00 ,3.00 ,"Spotify,Apple Music,Sound Cloud",,4.00 ,5.00 ,7.00 ,7.00 ,6.00 ,5.00 ,4.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,Spotify,3.00 ,5.00 ,4.00 ,4.00 ,1.00 ,4.00 ,1.00 ,,,6.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,Yes,0-$5,You,,Female,20-21,"less than 5,000",
Everday,5.90 ,"Spotify,Apple Music",,Apple Music,,4.00 ,1.00 ,5.00 ,,3.00 ,1.00 ,Spotify,,0.00 ,6.00 ,7.00 ,1.00 ,4.00 ,6.00 ,1.00 ,6.00 ,7.00 ,7.00 ,4.00 ,3.00 ,7.00 ,1.00 ,6.00 ,,,2.00 ,5.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,4.00 ,7.00 ,0.00 ,0.00 ,4.00 ,,,,Yes,$11-$15,You,,Female,20-21,"less than 5,000",
5 to 6 times a week,2.50 ,"Apple Music,Youtube Music",,Apple Music,,,7.00 ,,7.00 ,3.00 ,2.00 ,"Spotify,Apple Music",,1.00 ,5.00 ,7.00 ,7.00 ,7.00 ,5.00 ,1.00 ,6.00 ,7.00 ,7.00 ,7.00 ,6.00 ,7.00 ,,6.00 ,Apple Music,0.00 ,2.00 ,5.00 ,1.00 ,4.00 ,0.00 ,0.00 ,,,4.00 ,7.00 ,5.00 ,2.00 ,,,,,No,0-$5,A parent,,Female,20-21,"less than 5,000",
5 to 6 times a week,1.00 ,Spotify,,Spotify,,3.00 ,7.00 ,0.00 ,7.00 ,4.00 ,3.00 ,Spotify,,0.00 ,7.00 ,5.00 ,7.00 ,2.00 ,6.00 ,,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,4.00 ,1.00 ,7.00 ,Spotify,,5.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,7.00 ,,,,,,,,Yes,$6-$10,You,,Male,22-23,"5,000-10,000","I am an extremely loyal Spotify user. ""Wrapped"" is an awesome feature."
Everday,1.90 ,"Spotify,Youtube Music",,Spotify,,7.00 ,7.00 ,4.00 ,7.00 ,7.00 ,7.00 ,Spotify,,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,,3.00 ,5.00 ,3.00 ,3.00 ,5.00 ,3.00 ,3.00 ,3.00 ,,7.00 ,3.00 ,6.00 ,5.00 ,4.00 ,2.00 ,,,Yes,0-$5,You,,Female,> 25,"less than 5,000",
Everday,2.00 ,Spotify,,Spotify,,5.00 ,1.00 ,,2.00 ,6.00 ,7.00 ,Spotify,,5.00 ,7.00 ,7.00 ,2.00 ,5.00 ,7.00 ,7.00 ,7.00 ,7.00 ,6.00 ,6.00 ,7.00 ,7.00 ,1.00 ,7.00 ,,0.00 ,5.00 ,4.00 ,3.00 ,4.00 ,2.00 ,2.00 ,,,7.00 ,5.00 ,6.00 ,4.00 ,,,,,Yes,$6-$10,You,,Female,24-25,0,
Everday,1.60 ,Apple Music,,Apple Music,,,7.00 ,,,6.00 ,,Spotify,,0.00 ,6.00 ,7.00 ,7.00 ,7.00 ,6.00 ,3.00 ,7.00 ,6.00 ,7.00 ,7.00 ,7.00 ,6.00 ,,6.00 ,Apple music,1.00 ,1.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,,,0.00 ,7.00 ,,,,,,,Yes,0-$5,You,,Female,24-25,"Greater than 10,000",
Everday,1.50 ,"Spotify,SoundCloud",,Spotify,,5.00 ,7.00 ,1.00 ,7.00 ,5.00 ,3.00 ,Spotify,,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,5.00 ,1.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,7.00 ,,6.00 ,Spotify,0.00 ,5.00 ,2.00 ,0.00 ,0.00 ,0.00 ,4.00 ,,,7.00 ,3.00 ,0.00 ,,0.00 ,3.00 ,,,Yes,0-$5,A parent,,Male,20-21,"5,000-10,000",
5 to 6 times a week,2.90 ,Spotify,,Spotify,,3.00 ,6.00 ,0.00 ,5.00 ,5.00 ,1.00 ,Spotify,,1.00 ,5.00 ,6.00 ,6.00 ,7.00 ,6.00 ,7.00 ,5.00 ,7.00 ,7.00 ,7.00 ,6.00 ,7.00 ,1.00 ,6.00 ,Spotify,0.00 ,5.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,7.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,Yes,0-$5,You,,Non-binary / third gender,22-23,"less than 5,000",
